priority,id,class,phyloP,phastCons,denovo,lnTPM,max_Lu_riboTPM,validated by 2nd method
56,580.1,utORFs,0.45502564497292,0.355910256736351,Yes,1.8290836736064457,0.7074090000000001,No
57,2477.1,alt-frame,1.51242105715107,0.989333334722017,Yes,3.6046301318640324,0.8130109999999999,No
58,862.1,utORFs,1.4791528036714399,0.8391805583928041,No,3.6514001218764287,0.658069,No
59,2179.1,mel-specific,0.29154712510495,0.704562451793381,No,3.347090096626375,0.061163999999999996,No
60,1896.1,alt-frame,2.10151851565051,0.8258148163171161,Yes,3.4540331291903335,0.856612,No
61,2318.1,utORFs,1.5435858603162398,0.8428535364671709,Yes,3.357251206412025,0.9498719999999999,No
62,2227.1,alt-frame,1.77520722078646,0.9391891899946571,Yes,4.051810495303052,0.405817,No
63,878.1,alt-frame,2.2666849741412003,0.8504761916592941,No,3.407952977816812,0.655243,No
64,196.5,alt-frame,2.1314526717648,0.8323127592405029,No,2.987884510255679,6.457037000000001,No
65,1402.1,alt-frame,1.6337460421824,0.8643333350145631,No,4.410430389036422,0.23763800000000002,No
66,1117.1,unassigned,0.0,0.0,No,3.397196388352369,0.030198000000000003,No
67,1621.1,unassigned,0.0,0.0,No,1.583463068135897,1.849278,No
68,466.1,alt-frame,3.3958750076385,0.993555557396677,Yes,4.8040790840325505,0.190975,No
69,4053.1,alt-frame,1.7356543109729201,0.9364567910677489,Yes,4.297673970173821,0.217926,No
70,207.1,utORFs,1.87280208469989,0.998541666194797,No,2.879181209958294,2.165295,No
71,90.1,alt-frame,2.50977776627298,0.827925926295359,Yes,4.279144198816248,0.21709499999999998,No
72,1256.1,alt-frame,2.45935557800242,0.966188891397582,Yes,3.5974560858615336,0.375626,No
73,235.1,fast-evolving,0.0373596478204586,0.10387719257963499,Yes,2.315719853116537,0.11892899999999999,No
74,2102.1,alt-frame,2.6956666739781703,0.985093336105347,Yes,2.823922375187914,1.533691,No
75,895.1,fast-evolving,0.23073119492900898,0.6740752698513129,Yes,2.1471806775686573,0.15650899999999998,No
76,2583.1,fast-evolving,0.0577101434101823,0.115579709403919,Yes,2.8993491183173536,0.052277,No
77,3233.1,alt-frame,1.5706071387089398,0.997821429655665,Yes,4.645300072256676,0.171829,No
78,2083.1,fast-evolving,-0.0379743579124363,0.0593076923306888,Yes,1.8242052006003076,0.282095,No
79,350.1,fast-evolving,-0.23423809652024602,0.00415873017147302,No,1.934952619719431,0.205094,No
80,4235.1,mel-specific,-0.21536969723123497,0.0144969696969245,No,2.244418335652501,0.12757000000000002,No
81,4938.1,utORFs,0.30176666349261305,0.21205714255394,Yes,0.7677758742575257,0.058317999999999995,Yes
82,197.1,utORFs,2.3083912971551,0.992695651192596,Yes,4.624688017831935,0.159445,No
83,1529.1,utORFs,0.30591975623327805,0.22932716080901702,Yes,2.2299555812251097,0.12048299999999999,No
84,2618.1,utORFs,2.6643185149512596,0.9479925929451429,Yes,3.153853730828098,0.393946,No
85,368.1,alt-frame,3.2427037242501098,0.9966049378300892,No,3.3453768019347057,0.32558200000000004,No
86,2657.1,unassigned,1.8605340159538502,0.9756598645428408,No,2.8044407667764566,0.703504,No
87,4750.1,alt-frame,2.65980462025551,0.9951724142863829,No,3.557802817537521,0.258517,No
88,485.1,unassigned,0.0,0.0,No,1.6348689840038284,0.34986,No
89,2261.1,fast-evolving,-0.0273750020035853,0.00826041674978721,Yes,1.6824177055759928,0.300887,No
90,1841.1,mel-specific,0.142197531163635,0.0965370372236695,Yes,2.352314815640144,0.083501,No
91,277.1,alt-frame,2.24357945776506,0.8220033117396,Yes,4.320661486391643,0.148279,No
92,564.1,utORFs,0.452509261577183,0.314597222099245,Yes,2.6242258854873657,0.044311,No
93,905.1,utORFs,1.0255869650551899,0.510362318932059,Yes,2.951051959867341,0.164597,Yes
94,813.1,fast-evolving,-0.160547619197695,0.00464285720400291,Yes,1.6172665882274777,0.328588,No
95,1105.1,mel-specific,0.152106381662137,0.129482269017125,Yes,2.079969777138917,0.117296,No
96,2379.1,utORFs,1.51215503720003,0.9300775213759069,Yes,2.716476004116501,0.472836,No
97,2502.1,mel-specific,0.532719292400176,0.9889122791457591,Yes,2.5489184697428526,0.5997600000000001,No
98,1420.1,alt-frame,2.28900796456617,0.917686507941061,Yes,2.4628064801616203,0.7442850000000001,No
99,1548.1,utORFs,0.46538211427992404,0.294666666618919,Yes,2.0568452833276387,0.113452,No
100,1199.1,alt-frame,2.45257936701981,0.930563493660422,Yes,5.848039028650759,0.094054,No
101,2230.1,alt-frame,2.3551190425715696,0.999531745910645,No,4.143622829472062,0.129421,No
102,559.1,alt-frame,1.51166667081956,0.976246376832326,Yes,3.1910703302840884,0.21851700000000002,No
103,3491.1,alt-frame,1.8592083292508799,0.9966708334783709,Yes,2.3215562963217145,0.856684,No
104,590.1,utORFs,1.3911138158973,0.9989512209000629,Yes,3.8439298433669737,0.146122,No
105,1468.1,alt-frame,2.39748334561785,0.9910499999920529,Yes,2.2150055546313063,9.762844,No
106,2454.1,utORFs,0.48104597208486205,0.359425288923459,No,1.4883187681504435,0.34575900000000004,No
107,1786.1,utORFs,0.35607619273165897,0.20409523874986898,Yes,1.6468795439597501,0.195624,No
108,3456.1,utORFs,1.75426984773505,0.99807936426193,No,3.301415425017324,0.18224300000000002,No
109,1793.1,utORFs,1.71304320012806,0.948179012196092,Yes,3.0679239500712154,0.204369,No
110,2266.1,alt-frame,2.9781550338795,0.9995891474938209,Yes,3.493638510278437,0.148778,No
111,1656.1,unassigned,2.05883076381432,0.8402512822698199,No,5.247230808683756,0.046610000000000006,No
112,616.1,fast-evolving,-0.117022221783797,0.0013555555759618698,No,1.2963488656296647,0.409926,No
113,4021.1,fast-evolving,0.0572995135733849,0.150178743957132,Yes,2.2490913794589873,0.025883999999999997,No
114,1634.1,mel-specific,0.0855466677558919,0.0356400005193427,Yes,1.9356976066848526,0.096953,No
115,438.1,alt-frame,1.93628723974287,0.976392956112378,No,5.461531067136472,0.039468,No
