1129.1,alt-frame
1133.1,utORFs
1141.1,utORFs
1144.1,utORFs
1146.1,utORFs
1147.1,utORFs
1153.1,utORFs
1158.1,utORFs
1159.1,utORFs
1162.1,alt-frame
1188.1,fast-evolving
1197.1,utORFs
1199.1,alt-frame
1200.1,utORFs
1202.1,utORFs
1203.1,fast-evolving
1205.1,utORFs
1218.1,utORFs
1222.1,alt-frame
1256.1,alt-frame
1263.1,mel-specific
1271.1,utORFs
1273.1,alt-frame
1289.1,fast-evolving
1293.1,alt-frame
1294.1,utORFs
1301.1,utORFs
1318.1,alt-frame
1330.1,utORFs
1331.1,mel-specific
1343.1,alt-frame
1346.1,utORFs
1348.1,nonfunctional
1352.1,utORFs
1353.1,utORFs
1356.1,utORFs
1366.1,mel-specific
1369.1,alt-frame
1377.1,utORFs
1381.1,utORFs
1385.1,utORFs
1387.1,utORFs
1401.1,utORFs
1402.1,alt-frame
1407.1,utORFs
1420.1,alt-frame
1433.1,utORFs
1466.1,utORFs
1468.1,alt-frame
1480.1,mel-specific
1484.1,alt-frame
1487.1,fast-evolving
1489.1,utORFs
1490.1,alt-frame
1493.1,utORFs
1496.1,utORFs
1497.1,utORFs
1499.1,nonfunctional
1502.1,nonfunctional
1517.1,utORFs
1521.1,mel-specific
1524.1,utORFs
1525.1,utORFs
1528.1,utORFs
1529.1,utORFs
1531.1,utORFs
1534.1,utORFs
1538.1,alt-frame
1540.1,utORFs
1541.1,utORFs
1544.1,fast-evolving
1548.1,utORFs
1549.1,utORFs
1551.1,fast-evolving
1560.1,utORFs
1561.1,utORFs
1563.1,alt-frame
1567.1,utORFs
1568.1,utORFs
1574.1,utORFs
1575.1,utORFs
1585.1,fast-evolving
1594.1,mel-specific
1595.1,utORFs
1596.1,utORFs
1599.1,alt-frame
1604.1,utORFs
1606.1,utORFs
1609.1,utORFs
1613.1,fast-evolving
1615.1,utORFs
1628.1,mel-specific
1633.1,utORFs
1634.1,mel-specific
1653.1,utORFs
1657.1,fast-evolving
1658.1,utORFs
1660.1,fast-evolving
1661.1,fast-evolving
1662.1,utORFs
1664.1,utORFs
1666.1,utORFs
1667.1,alt-frame
1673.1,mel-specific
1674.1,fast-evolving
1675.1,alt-frame
1677.1,nonfunctional
1678.1,nonfunctional
1680.1,utORFs
1685.1,alt-frame
1686.1,utORFs
1689.1,utORFs
1691.1,utORFs
1692.1,utORFs
1695.1,utORFs
1698.1,utORFs
1699.1,alt-frame
1701.1,utORFs
1709.1,nonfunctional
1710.1,utORFs
1714.1,mel-specific
1715.1,mel-specific
1719.1,utORFs
1724.1,utORFs
1731.1,nonfunctional
1733.1,utORFs
1734.1,fast-evolving
1735.1,utORFs
1742.1,fast-evolving
1743.1,utORFs
1749.1,utORFs
1750.1,alt-frame
1753.1,utORFs
1756.1,utORFs
1757.1,utORFs
1759.1,utORFs
1771.1,utORFs
1775.1,fast-evolving
1776.1,mel-specific
1777.1,mel-specific
1786.1,utORFs
1788.1,utORFs
1789.1,utORFs
