,furthest,genomic,phyloP,phastCons,length,monophyletic,sigTPM,tau,dev_tau
162.1,droRho,sense,0.0177916718336443,0.114499999874776,16.0,False,108.59538300000001,0.976770061287481,0.804225081077788
164.1,droGri,sense,1.39484228589822,0.8128781370917919,93.0,False,5.72971,0.9513780736597088,0.9730296379753693
168.1,droFic,antisense,1.4670854668136901,0.9230598297216891,39.0,False,9.205859,0.8450148732874707,0.8495437726532434
169.1,droFic,antisense,1.8000952345984298,0.9929206352385259,21.0,True,8.714628999999999,0.7586956046064279,0.8618868895409837
172.1,droMir,sense,1.7964954927379098,0.8095495494739109,37.0,False,61.496159,0.6852600203775653,0.9382384523430439
184.1,droRho,sense,0.5971783019409179,0.5500000020157,43.0,False,7.148683,0.7893020321276134,0.7799101878435385
186.1,droFic,sense,1.6839907308824797,0.747115740442058,72.0,False,3.413558,0.7747044105706375,0.760758274020795
193.1,triCas,antisense,1.84221569178443,0.957941178013297,17.0,False,0.0,,
196.5,musDom,antisense,2.1314526717648,0.8323127592405029,81.0,False,19.842659,0.6374524745171617,0.5960118927847032
197.1,droMir,sense,2.3083912971551,0.992695651192596,46.0,False,101.969955,0.4326955502401968,0.9310353810617891
199.1,droGri,sense,1.6623863534733798,0.8124393947655341,44.0,False,2.902901,0.9122659698498565,0.9589225467918235
201.1,droFic,antisense,0.394248369795094,0.464228757659393,51.0,False,1.9948919999999999,0.9531559923423428,0.9668242129775089
203.1,musDom,antisense,1.3850000007369099,0.5860520833169479,32.0,False,23.252913,0.8976535405633288,0.9135097521354902
207.1,droWil,sense,1.87280208469989,0.998541666194797,32.0,False,17.798693,0.8319273676561083,0.8502592406598122
210.1,droFic,antisense,0.329870367429167,0.42963888977667203,36.0,False,1.3632309999999999,0.9380068265280184,0.9999999999999996
211.1,droRho,sense,0.741097221952967,0.591111112287359,24.0,False,7.067933999999999,0.7597805401609281,0.8894268095632543
216.1,droFic,intergenic,1.85359330431869,0.877046666938501,50.0,False,0.216596,1.0,
229.1,dm,mixed,-0.00498554438707374,0.000679421772468411,28.0,True,9.765715,0.8078838916710106,0.828128055825145
235.1,droEre,antisense,0.0373596478204586,0.10387719257963499,38.0,False,10.131214,0.8117613132654604,0.8953609302519414
245.1,droMir,sense,0.9563950653544359,0.465734568351224,54.0,False,110.404587,0.5652107132643429,0.4637583672800046
247.1,droRho,sense,0.9595238151738331,0.789380951539247,28.0,False,12.732059,0.7190825818369924,0.8621235200034272
248.1,droFic,antisense,1.3606666713953,0.8214888882719811,15.0,True,9.728062,0.6630717135441826,0.8131425451123842
249.1,droRho,sense,1.06058823949128,0.6129673223210551,51.0,False,42.42767,0.8625768245162957,0.5858282932807549
250.1,droFic,sense,1.1706274479438898,0.68986274571435,51.0,False,34.47739,0.77570619890452,0.615876036624703
252.1,droGri,intergenic,2.34497613060687,0.9972976176511671,28.0,False,1.552215,,0.9999999999999996
255.1,droMir,antisense,0.7084545448676429,0.5409696971376741,22.0,False,5.241025,0.9135577310581662,0.8489662665395626
257.1,droMir,sense,0.9317393883724101,0.46082424271047495,55.0,False,8.465135,0.7739597588103972,0.719406767503778
266.1,droSuz,intergenic,0.525217387960225,0.34698550762824604,23.0,True,1.051082,1.0000000000000002,0.937082928094839
272.1,droGri,antisense,1.87453706676347,0.827685185324366,36.0,False,9.781878,0.8682825611274849,0.7607961614318434
273.1,,sense,1.96190597652856,0.961504273410114,78.0,,70.416573,0.7275356092058702,0.6107845503951781
275.1,droMir,antisense,0.831463547345872,0.46160416724948494,64.0,False,3.0679990000000004,0.6006692933193645,0.8949626206626595
276.1,droRho,sense,0.056119049390194,0.0805158723369315,42.0,False,6.1449620000000005,0.8305992535261004,0.8600770372931288
277.1,droGri,sense,2.24357945776506,0.8220033117396,231.0,False,75.237381,0.9818192185263219,0.6116817052039056
280.1,droEre,sense,0.287377190737364,0.141350876618577,38.0,True,2.7459189999999998,0.8948757932862279,0.9619993869635836
281.1,droGri,sense,1.98659997377545,0.768250001017198,40.0,False,1.093548,0.9509889176176933,
285.1,droFic,sense,1.45976577467612,0.962657658299347,37.0,False,8.982534,0.9247219129404188,0.836528987104955
301.1,apiMel,antisense,1.74760146107714,0.7173623210080708,46.0,False,7.768981,0.759665584552838,0.7766098039483259
308.1,droRho,sense,1.45578030951208,0.8144204548836128,88.0,False,4.672383,0.7404247349010564,0.9211917537238123
316.1,droGri,sense,1.92792122510798,0.8098060606964721,55.0,False,4.293258,0.8918810157683779,0.7622457561688194
318.1,droFic,sense,1.1197657687191,0.6618738747096979,37.0,False,6.123553,0.8331157097639099,0.8806304290717619
322.1,droFic,antisense,2.0930217429725597,0.8916666659162099,46.0,False,1.569963,0.9590045188532486,0.9609150670743671
329.1,triCas,sense,2.36440000886311,0.9394416700427729,40.0,False,584.194336,0.822372791045684,0.6888783196467027
335.1,droFic,sense,1.15306926369808,0.7047575758014158,77.0,False,3.646368,0.8478729744037818,0.9795698331434147
337.1,droFic,antisense,0.40146666306342604,0.22995000137210198,20.0,False,22.73933,0.8043275491371302,0.9768889234008511
340.1,droMir,intergenic,1.6079375187509901,0.8970208349619498,64.0,False,0.76857,1.0,
344.2,droFic,antisense,0.622785722469589,0.330622023344664,112.0,False,9.70558,0.6705052348147819,0.6561614149561752
348.1,musDom,antisense,1.2608257539034098,0.992712122021299,44.0,False,0.361496,0.9705213820909924,
350.1,droRho,intergenic,-0.23423809652024602,0.00415873017147302,21.0,False,6.922716,0.9287164850899341,0.6372081418951694
351.1,droFic,antisense,0.6298518577004201,0.300712961969785,36.0,False,4.128929,0.8897359715196914,0.7928783042095411
360.1,droMir,antisense,1.81754544865566,0.936909087961822,22.0,False,18.867851,0.9208855317941437,0.7481375347338487
365.1,droSec,intergenic,-0.272703701837195,0.0382777784942408,18.0,False,1.26683,1.0000000000000002,0.9999999999999996
368.1,anoGam,sense,3.2427037242501098,0.9966049378300892,27.0,False,28.370264000000002,0.9131198932148012,0.583812463030615
380.1,droFic,antisense,2.11708080437448,0.9905656564115269,33.0,True,10.732672,0.9429302518400867,0.730723412924147
385.1,droFic,sense,1.3198412814665401,0.8522063475989159,21.0,False,14.278559,0.5509852759997389,0.9236613566219556
386.2,apiMel,antisense,2.44232288178076,0.9267604171921751,32.0,False,2.9880240000000002,0.7395692986440516,0.9067659263149038
388.1,droMir,antisense,0.657592596286149,0.32485185190431604,45.0,False,13.522260000000001,0.7116529887048346,0.755699958106205
395.1,droGri,sense,1.5483485264985901,0.826121212350148,22.0,False,6.132974,0.8289781014324269,0.7959995299174226
396.1,droFic,antisense,0.5551794871934649,0.26095726526179197,39.0,False,12.558505,0.7569884591767048,0.8237207743819295
400.1,droFic,sense,1.1276754386674,0.855982457205915,38.0,False,19.107634,0.738393744425706,0.6909910194360674
403.1,droFic,antisense,1.18489394300427,0.6927575765805539,22.0,False,7.433238,0.8655610679974592,0.8841244100936702
408.1,droRho,sense,1.52854667701448,0.7461333341524,25.0,False,5.039693,0.8983320795241616,0.9560918423468687
412.1,droGri,antisense,1.4647999809589198,0.5657599971257149,25.0,False,3.87871,0.8822035087752547,0.7239752750730288
417.1,droGri,intergenic,1.48765080271008,0.762396827280994,42.0,False,1.105588,0.9689068632283752,0.9818921371177385
419.1,droGri,antisense,0.437116280259463,0.19193023278255203,43.0,False,6.7933509999999995,0.9491790929962978,0.9190877494475802
420.1,dm,intergenic,0.716761901974678,0.557571425501789,21.0,True,3.5325309999999996,,0.9617180933596419
428.1,droRho,antisense,0.568388886698004,0.4129135804373,54.0,False,7.708543,0.8284800907629419,0.8132067788291114
434.1,droFic,intergenic,1.38029629852858,0.760626780637673,117.0,False,1.926712,0.6514280454349395,0.8949913257256183
438.1,droGri,sense,1.93628723974287,0.976392956112378,123.0,False,235.45665,0.9211223714005559,0.7822412838198929
440.1,droRho,intergenic,0.6048012830134929,0.47844871714746995,52.0,False,0.523648,1.0,0.9999999999999996
444.1,droMir,intergenic,1.4541217822238999,0.721522436366799,104.0,False,16.037874,0.9239659536488256,0.9201570123336792
446.1,droGri,antisense,2.3045789357227098,0.841456140568534,57.0,False,3.008753,0.9717413002696467,0.8827426762537648
