,furthest,genomic,phyloP,phastCons,length,monophyletic,sigTPM,tau,dev_tau
157,3,2,1,1,1,2,1,1,2
158,7,3,2,2,3,2,1,1,2
159,10,3,1,1,1,2,1,1,1
160,10,2,2,2,2,2,1,2,1
161,8,4,3,2,3,2,1,2,1
162,10,3,3,3,2,2,1,1,1
163,11,2,3,3,3,2,1,2,1
164,4,1,1,1,2,2,1,2,1
165,6,2,3,2,2,2,1,2,1
166,7,3,3,3,2,2,1,2,2
167,6,1,2,3,2,2,1,1,1
168,10,3,3,3,2,2,1,1,2
169,10,1,3,3,2,2,1,1,1
170,8,3,3,3,2,2,1,1,1
171,10,2,2,2,2,2,1,1,1
172,10,2,2,1,1,2,1,1,1
173,12,2,3,3,3,2,1,1,2
174,10,3,3,2,2,2,1,1,1
175,6,3,2,2,2,2,1,2,1
176,7,1,3,2,3,2,1,1,1
177,6,2,2,3,2,2,1,1,1
178,8,1,3,3,3,2,1,1,2
179,7,2,2,2,2,2,1,2,2
180,6,2,2,3,2,2,1,2,1
181,8,3,3,2,3,2,1,1,1
182,10,2,3,3,2,2,1,2,2
183,7,2,3,3,3,2,1,1,1
184,3,1,1,1,2,2,1,1,1
185,8,2,3,3,2,2,1,2,1
186,6,1,2,2,3,2,1,1,1
187,6,2,3,2,3,2,1,1,1
188,10,1,2,1,1,2,1,1,1
189,6,1,2,2,3,2,1,1,1
190,14,2,3,3,3,2,1,2,1
191,10,1,3,2,3,2,1,1,1
192,10,1,3,2,1,2,1,1,1
193,10,2,3,3,3,2,1,1,1
194,7,1,3,2,2,2,1,1,1
195,6,2,2,2,2,2,1,1,1
196,3,2,2,2,3,2,1,1,1
197,10,3,2,2,3,2,1,2,2
198,7,2,2,2,1,2,1,1,1
199,10,1,3,3,1,2,1,2,1
200,NA,3,3,3,3,NA,1,1,2
201,10,3,3,3,3,2,1,1,2
202,8,2,3,2,2,2,1,1,1
203,7,2,2,2,2,2,1,1,1
204,10,1,3,3,2,2,1,1,1
205,10,3,3,3,3,2,1,2,1
206,7,1,2,2,2,2,1,1,2
207,8,3,3,3,2,2,1,1,2
208,10,1,3,2,2,2,1,1,1
209,7,3,2,3,2,2,1,2,1
210,10,2,2,2,2,2,1,2,1
211,7,3,2,2,2,2,1,2,1
212,10,3,3,2,2,2,1,1,2
213,10,1,3,3,2,2,1,1,1
214,8,3,2,2,3,2,1,2,2
215,6,1,2,1,2,2,1,1,2
216,6,1,3,3,3,2,1,1,1
217,1,2,2,2,2,1,1,1,1
218,1,2,2,2,3,1,1,1,1
219,8,1,2,2,2,2,1,1,1
220,6,1,2,2,3,2,1,1,1
221,7,1,2,1,2,2,1,1,1
222,8,2,3,3,1,2,1,1,2
223,6,2,1,1,2,2,1,1,1
224,10,1,3,2,2,2,1,1,1
225,6,2,3,3,3,2,1,1,1
226,6,1,3,3,2,2,1,1,1
227,8,2,3,2,2,2,1,1,1
228,7,2,2,2,2,2,1,1,1
229,8,1,1,1,1,2,1,2,2
230,6,2,2,2,3,2,1,2,1
231,8,3,2,2,3,2,1,1,1
232,10,2,3,3,2,2,1,1,1
233,6,2,2,2,2,2,1,1,2
